time,latitude,longitude
1570865918448,30.63817,104.088093
1570865918454,30.63817,104.088093
1570865918458,30.63817,104.088093
1570865918462,30.63817,104.088093
1570865918735,30.638152,104.088084
1570865918742,30.638152,104.088084
1570865918748,30.638152,104.088084
1570865918752,30.638152,104.088084
1570865919710,30.638132,104.08808
1570865919715,30.638132,104.08808
1570865919720,30.638132,104.08808
1570865919725,30.638132,104.08808
1570865920723,30.638111,104.088085
1570865920728,30.638111,104.088085
1570865920735,30.638111,104.088085
1570865920768,30.638111,104.088085
1570865921740,30.638091,104.088097
1570865921746,30.638091,104.088097
1570865921752,30.638091,104.088097
1570865921761,30.638091,104.088097
1570865922735,30.638073,104.088112
1570865922743,30.638073,104.088112
1570865922750,30.638073,104.088112
1570865922757,30.638073,104.088112
1570865923728,30.638056,104.088132
1570865923735,30.638056,104.088132
1570865923740,30.638056,104.088132
1570865923747,30.638056,104.088132
1570865924703,30.638039,104.088155
1570865924724,30.638039,104.088155
1570865924730,30.638039,104.088155
1570865924737,30.638039,104.088155
1570865925682,30.638019,104.088179
1570865925685,30.638019,104.088179
1570865925688,30.638019,104.088179
1570865925690,30.638019,104.088179
1570865926715,30.637998,104.088203
1570865926721,30.637998,104.088203
1570865926729,30.637998,104.088203
1570865926739,30.637998,104.088203
1570865927707,30.63798,104.088224
1570865927716,30.63798,104.088224
1570865927726,30.63798,104.088224
1570865927730,30.63798,104.088224
1570865928703,30.637961,104.088247
1570865928708,30.637961,104.088247
1570865928723,30.637961,104.088247
1570865928729,30.637961,104.088247
1570865929707,30.637937,104.088269
1570865929714,30.637937,104.088269
1570865929721,30.637937,104.088269
1570865929727,30.637937,104.088269
1570865930707,30.637911,104.088289
1570865930715,30.637911,104.088289
1570865930722,30.637911,104.088289
1570865930729,30.637911,104.088289
1570865931717,30.637888,104.088309
1570865931727,30.637888,104.088309
1570865931735,30.637888,104.088309
1570865931744,30.637888,104.088309
1570865932712,30.637883,104.088336
1570865932722,30.637883,104.088336
1570865932726,30.637883,104.088336
1570865932743,30.637883,104.088336
1570865933710,30.637879,104.088371
1570865933716,30.637879,104.088371
1570865933721,30.637879,104.088371
1570865933727,30.637879,104.088371
